seat,enrolment,turnout_pc,informal_pc,informal_swg
Adelaide,129960,90.18,3.79,0.09
Aston,109705,92.5,3.27,-0.41
Ballarat,110570,91.9,5.03,0.83
Banks,107700,91.55,6.64,-0.56
Barker,123326,92.2,6.96,1.39
Barton,110371,89.72,7.48,-2.05
Bass,79322,91.95,5.93,1.43
Bean,109432,92.58,2.88,-2.27
Bendigo,112354,92.16,3.64,-0.46
Bennelong,114942,92.03,5.8,0.64
Berowra,106174,93.61,6.12,-0.28
Blair,126366,87.11,5.3,-2.19
Blaxland,107252,85.37,10.79,-2.51
Bonner,109132,90.57,2.5,-0.43
Boothby,128592,92.54,4.44,-0.26
Bowman,115715,90.51,2.91,-0.49
Braddon,82424,92.76,7.66,0.58
Bradfield,108540,92.43,3.6,-0.45
Brand,118102,86.56,6.41,0.15
Brisbane,125208,88.74,2.08,-0.44
Bruce,112756,88.34,4.34,-0.76
Burt,112918,86.1,5.84,-0.82
Calare,121414,92.06,3.99,-1.67
Calwell,106706,85.02,6.31,-3.03
Canberra,102078,92.08,1.77,-0.39
Canning,115165,87.55,6.5,0.43
Capricornia,108569,88.6,6.14,-0.19
Casey,114277,93.0,6.26,-0.18
Chifley,121280,87.95,8.88,-0.78
Chisholm,109851,92.2,4.7,0.44
Clark,74697,92.13,4.25,1.81
Cook,110221,92.83,4.4,-1.73
Cooper,108610,90.16,4.26,-0.66
Corangamite,112645,93.26,3.89,-0.06
Corio,112517,90.91,5.22,1.66
Cowan,122611,87.86,7.46,1.7
Cowper,129688,90.22,4.93,-2.85
Cunningham,117169,91.48,5.14,-0.56
Curtin,119268,90.9,3.11,-0.07
Dawson,110384,87.49,4.14,-2.87
Deakin,112455,93.09,4.22,0.15
Dickson,112786,91.35,3.88,-0.48
Dobell,118400,90.07,4.62,-1.35
Dunkley,111567,90.06,4.73,-0.41
Durack,118406,80.86,6.5,1.12
Eden-Monaro,116338,93.35,6.52,-0.28
Fadden,127728,86.54,4.31,-0.6
Fairfax,123296,88.99,5.53,-0.9
Farrer,119235,91.28,7.59,-1.54
Fenner,102515,91.51,2.7,-0.29
Fisher,125775,89.07,3.15,-1.65
Flinders,114414,91.41,5.44,-0.5
Flynn,108988,88.07,3.83,-1.98
Forde,119085,85.23,6.78,2.14
Forrest,113008,88.78,5.22,-0.42
Fowler,108429,88.54,10.52,-2.59
Franklin,80243,93.41,4.93,1.78
Fraser,110961,86.84,4.42,-0.39
Fremantle,116783,89.12,5.79,0.39
Gellibrand,108096,89.67,4.88,1.25
Gilmore,127603,91.59,4.42,-0.83
Gippsland,114405,90.89,2.96,-2.26
Goldstein,109633,92.65,3.43,1.22
Gorton,110860,89.77,7.12,1.04
Grayndler,109926,90.11,4.53,0.28
Greenway,119876,91.38,8.22,1.46
Grey,123620,89.62,6.93,0.02
Griffith,121278,89.45,2.0,-0.26
Groom,110878,90.88,4.72,1.52
Hasluck,117530,88.74,5.54,-0.16
Hawke,106479,89.14,8.15,2.61
Herbert,114164,85.93,5.77,-0.13
Higgins,107736,91.23,2.82,0.31
Hindmarsh,128627,90.98,5.71,1.39
Hinkler,117153,89.49,3.27,-4.55
Holt,107397,88.57,6.55,2.38
Hotham,115974,89.58,3.55,-0.85
